name,weight,price,crawllink,link,details,id,imgUrl
Арахис,,,http://health-diet.ru/base_of_food/sostav/791.php,,"{""Калорийность Ккал"": ""552"", ""Белки гр."": ""26,3"", ""Жиры гр."": ""45,2"", ""Углеводы гр."": ""9,9"", ""Продукт"": ""Арахис"", ""top_cat"": ""Орехи и семена""}",791,
Вишня-ядро,,,http://health-diet.ru/base_of_food/sostav/57.php,,"{""Калорийность Ккал"": ""422,1"", ""Белки гр."": ""21,9"", ""Жиры гр."": ""30,5"", ""Углеводы гр."": ""16"", ""Продукт"": ""Вишня-ядро"", ""top_cat"": ""Орехи и семена""}",57,
Горчица-семя,,,http://health-diet.ru/base_of_food/sostav/72.php,,"{""Калорийность Ккал"": ""474"", ""Белки гр."": ""25,8"", ""Жиры гр."": ""30,8"", ""Углеводы гр."": ""23,4"", ""Продукт"": ""Горчица-семя"", ""top_cat"": ""Орехи и семена""}",72,
Горчичный порошок,,,http://health-diet.ru/base_of_food/sostav/74.php,,"{""Калорийность Ккал"": ""378"", ""Белки гр."": ""37,1"", ""Жиры гр."": ""11,1"", ""Углеводы гр."": ""32,6"", ""Продукт"": ""Горчичный порошок"", ""top_cat"": ""Орехи и семена""}",74,
Какао тертое,,,http://health-diet.ru/base_of_food/sostav/911.php,,"{""Калорийность Ккал"": ""559"", ""Белки гр."": ""13,5"", ""Жиры гр."": ""49,4"", ""Углеводы гр."": ""13,6"", ""Продукт"": ""Какао тертое"", ""top_cat"": ""Орехи и семена""}",911,
Какао-бобы,,,http://health-diet.ru/base_of_food/sostav/117.php,,"{""Калорийность Ккал"": ""565,3"", ""Белки гр."": ""12,8"", ""Жиры гр."": ""53,2"", ""Углеводы гр."": ""9,4"", ""Продукт"": ""Какао-бобы"", ""top_cat"": ""Орехи и семена""}",117,
Кедровый орех,,,http://health-diet.ru/base_of_food/sostav/1533.php,,"{""Калорийность Ккал"": ""674"", ""Белки гр."": ""23,7"", ""Жиры гр."": ""60"", ""Углеводы гр."": ""20,5"", ""Продукт"": ""Кедровый орех"", ""top_cat"": ""Орехи и семена""}",1533,
Баклажаны,,,http://health-diet.ru/base_of_food/sostav/33.php,,"{""Калорийность Ккал"": ""24"", ""Белки гр."": ""1,2"", ""Жиры гр."": ""0,1"", ""Углеводы гр."": ""4,5"", ""Продукт"": ""Баклажаны"", ""top_cat"": ""Овощи и зелень""}",33,
Батат,,,http://health-diet.ru/base_of_food/sostav/37.php,,"{""Калорийность Ккал"": ""59,8"", ""Белки гр."": ""2"", ""Жиры гр."": ""0"", ""Углеводы гр."": ""13,8"", ""Продукт"": ""Батат"", ""top_cat"": ""Овощи и зелень""}",37,
Ботва свекольная,,,http://health-diet.ru/base_of_food/sostav/530.php,,"{""Калорийность Ккал"": ""28,2"", ""Белки гр."": ""1,2"", ""Жиры гр."": ""0,1"", ""Углеводы гр."": ""6"", ""Продукт"": ""Ботва свекольная"", ""top_cat"": ""Овощи и зелень""}",530,
Брокколи,,,http://health-diet.ru/base_of_food/sostav/1546.php,,"{""Калорийность Ккал"": ""34"", ""Белки гр."": ""2,82"", ""Жиры гр."": ""0,37"", ""Углеводы гр."": ""6,64"", ""Продукт"": ""Брокколи"", ""top_cat"": ""Овощи и зелень""}",1546,
Брюква,,,http://health-diet.ru/base_of_food/sostav/50.php,,"{""Калорийность Ккал"": ""37"", ""Белки гр."": ""1,2"", ""Жиры гр."": ""0,1"", ""Углеводы гр."": ""7,7"", ""Продукт"": ""Брюква"", ""top_cat"": ""Овощи и зелень""}",50,
Кабачок,,,http://health-diet.ru/base_of_food/sostav/115.php,,"{""Калорийность Ккал"": ""24"", ""Белки гр."": ""0,6"", ""Жиры гр."": ""0,3"", ""Углеводы гр."": ""4,6"", ""Продукт"": ""Кабачок"", ""top_cat"": ""Овощи и зелень""}",115,
Капуста белокочанная,,,http://health-diet.ru/base_of_food/sostav/123.php,,"{""Калорийность Ккал"": ""28"", ""Белки гр."": ""1,8"", ""Жиры гр."": ""0,1"", ""Углеводы гр."": ""4,7"", ""Продукт"": ""Капуста белокочанная"", ""top_cat"": ""Овощи и зелень""}",123,
Ветчина в форме,,,http://health-diet.ru/base_of_food/sostav/474.php,,"{""Калорийность Ккал"": ""278,5"", ""Белки гр."": ""22,6"", ""Жиры гр."": ""20,9"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Колбасные изделия"", ""Продукт"": ""Ветчина в форме"", ""top_cat"": ""Мясо, птица и мясные продукты""}",474,
Ветчина особая,,,http://health-diet.ru/base_of_food/sostav/13613.php,,"{""Калорийность Ккал"": ""126"", ""Белки гр."": ""17,6"", ""Жиры гр."": ""6,2"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Колбасные изделия"", ""Продукт"": ""Ветчина особая"", ""top_cat"": ""Мясо, птица и мясные продукты""}",13613,
Грудинка копчено-запеченная (свинина),,,http://health-diet.ru/base_of_food/sostav/544.php,,"{""Калорийность Ккал"": ""514"", ""Белки гр."": ""10"", ""Жиры гр."": ""52,7"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Колбасные изделия"", ""Продукт"": ""Грудинка копчено-запеченная (свинина)"", ""top_cat"": ""Мясо, птица и мясные продукты""}",544,
Грудинка сырокопченая (свинина),,,http://health-diet.ru/base_of_food/sostav/13631.php,,"{""Калорийность Ккал"": ""605"", ""Белки гр."": ""8,9"", ""Жиры гр."": ""63,3"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Колбасные изделия"", ""Продукт"": ""Грудинка сырокопченая (свинина)"", ""top_cat"": ""Мясо, птица и мясные продукты""}",13631,
Колбаса вареная говяжья,,,http://health-diet.ru/base_of_food/sostav/557.php,,"{""Калорийность Ккал"": ""165"", ""Белки гр."": ""15"", ""Жиры гр."": ""11,7"", ""Углеводы гр."": ""0,2"", ""sub_cat"": ""Колбасные изделия"", ""Продукт"": ""Колбаса вареная говяжья"", ""top_cat"": ""Мясо, птица и мясные продукты""}",557,
Колбаса вареная для завтрака,,,http://health-diet.ru/base_of_food/sostav/867.php,,"{""Калорийность Ккал"": ""187"", ""Белки гр."": ""13"", ""Жиры гр."": ""13,9"", ""Углеводы гр."": ""2,4"", ""sub_cat"": ""Колбасные изделия"", ""Продукт"": ""Колбаса вареная для завтрака"", ""top_cat"": ""Мясо, птица и мясные продукты""}",867,
Колбаса вареная русская,,,http://health-diet.ru/base_of_food/sostav/13618.php,,"{""Калорийность Ккал"": ""302"", ""Белки гр."": ""11,5"", ""Жиры гр."": ""27,9"", ""Углеводы гр."": ""1,7"", ""sub_cat"": ""Колбасные изделия"", ""Продукт"": ""Колбаса вареная русская"", ""top_cat"": ""Мясо, птица и мясные продукты""}",13618,
"Колбаса вареная, диабетическая",,,http://health-diet.ru/base_of_food/sostav/859.php,,"{""Калорийность Ккал"": ""254"", ""Белки гр."": ""12,1"", ""Жиры гр."": ""22,8"", ""Углеводы гр."": ""0"", ""sub_cat"": ""Колбасные изделия"", ""Продукт"": ""Колбаса вареная, диабетическая"", ""top_cat"": ""Мясо, птица и мясные продукты""}",859,
