raw_id,sqn,brand,brand_detected,product_manufacturer,weight,fat,pack,pfqn
243049,сухари с изюмом,О'КЕЙ,True,"ООО ""Воплощение""",350г,,,Сухари ОКЕЙ с изюмом 350г
244153,десерт творож коллекция творожок тропический мусс,Чудо,True,"ОАО ""Вимм-Билль-Данн""",100г,4.2%,,Десерт творож Чудо Коллекция творожок тропический мусс 4.2% 100г
134493,кости суповые в наборе,Собственное производство,,"ООО ""О'КЕЙ""",кг,,,"Кости суповые (в наборе), кг"
92157,форель филе-кусок с/с морская планета,Не Бренд,,,200г,,в/у,Форель филе-кусок с/с. 200г Морская планета в/у
243420,мороженое клубничное gelato,Viva la Crema,True,R&R Ice Cream Deutchland GmbH,1000мл,,,"Мороженое ""Клубничное Gelato"" 1000мл Viva La crema"
242434,чай мэджик юн-нань лист,Greenfield,True,"ООО ""НЕП"", Россия",100г,,,Чай Greenfield Мэджик Юн-нань лист.100г
491514,колбаса вар телячья отборная белк,МИКОЯН,True,"ЗАО ""Микояновский мясокомбинат""",1кг,,,Колбаса вар Телячья отборная белк. 1кг Микоян
168561,крабовые палочки замороженные имитация,О'КЕЙ,True,"ООО ""Вичюнай-Русь""",300г,,,Крабовые палочки ОКЕЙ замороженные (имитация) 300г
44278,бедро цыпленка охл,Моссельпром,True,,кг,,,"Бедро цыпленка охл. Моссельпром, кг"
118144,сыр моцарелла чильеджина претто,Умалат,True,"ЗАО ""УМАЛАТ""",125г,50%,,Сыр Моцарелла Чильеджина 50% Претто Умалат 125г
83356,форель ломтики с/с,Gustafsen,True,"ЗАО ""ИТА Северная Компания""",250г,,в/у,Форель Gustafsen ломтики с/с 250г в/у
45736,картофель,Не Бренд,,,кг,,,"Картофель, кг"
112708,напиток к/м с соком мультифрукт,Имунеле,True,"ОАО ""Вимм-Билль-Данн""",100г,1.2%,,Напиток к/м с соком Имунеле 1.2% 100г Мультифрукт
180850,напиток сильногаз б/а,Coca-Cola,True,"ООО""Кока-Кола ЭйчБиСи Евразия""",0.25л,,ст/б,Напиток Кока Кола сильногаз б/а 0.25л ст/б
119500,сок томат с морс солью,Теди,True,"СМПМарк-IV""",0.3л,,ст/б,Сок Теди томат с морс.солью 0.3л ст/б
244604,булочка парижская с нач ябл/корица,Каравай,True,"ОАО ""Каравай""",45г,,,Булочка Парижская с нач. ябл/корица 45г Каравай
125832,цветная капуста,VITAMIN,True,"ООО ""ТК ""Мираторг""",800г.,,,Цветная капуста 800г. Vитамин
90272,цикорий раств классический,Coffitel,True,"ОАО ""Русский продукт""",100г,,дой-пак,Цикорий раств Классический Coffitel 100г дой-пак
46790,крыло цыпленка зам,Приосколье,True,,кг,,,"Крыло цыпленка  зам Приосколье,кг"
50575,свинина охл лопатка н/к,Собственное производство,,,кг,,,"Свинина охл лопатка н/к, кг"
597823,пицца с моцареллой,О'КЕЙ,True,"ООО ""Морозко""",400г,,,Пицца ОКЕЙ с моцареллой 400г
195217,конфеты композишн молочный,Alpen Gold,True,,204г,,,Конфеты Альпен Гольд Композишн молочный 204г
245653,батончики мюсли миндаль,Nature Valley,True,General Mills,6х42г,,,Батончики мюсли Nature Valley Миндаль 6х42г
604901,биойогурт термостатный,Активиа,True,"АО ""ДАНОН РОССИЯ""",170г,3.5%,,Активия Биойогурт термостатный 3.5% 170г
110438,сырок глазир ваниль,Ростагроэкспорт,True,ООО «РостАгроКомплекс»,45г,26%,фольга,Сырок глазир Ростагроэкспорт ваниль 26% 45г фольга
237365,ананасы кусочки,О'КЕЙ,True,"Eurovision Thai Co., Ltd",580мл,,,Ананасы ОКЕЙ кусочки 580мл
182803,сок морк/малин/ябл,Теди,True,"СМПМарк-IV""",0.3л,,ст/б,Сок Теди морк/малин/ябл 0.3л ст/б
92359,крабовое мясо имит сырный соус,а'море,True,"ОАО ""Рыбообрабатывающий комбинат №1""",200г,,,Крабовое мясо Аморе (имит) сырный соус 200г
112951,пирожное птичье молоко с шоколадной глазурью,Масконти,True,"ЗАО ""Масконти Лтд""",225г,,,"Пирожное ""Птичье Молоко"" Масконти с шоколадной глазурью 225г"
168577,крабовое мясо с мясом натур краба охл,VICI,True,"Uždaroji akcinė bendrovė ""PLUNGĖS KOOPERATINĖ PREKYBA""",200г,,,Крабовое мясо VICI с мясом натур краба охл 200г
45448,томаты тепличные,Не Бренд,,,кг,,,"Томаты тепличные, кг"
243924,сыр сулугуни,Пан Ступка,True,"ОАО ""МОЛОКО""",500г,45%,,Сыр Сулугуни 45% Пан Ступка 500г
244257,чай зеленый лайм,Tess,True,"ООО ""НЕП"", Россия",100г,,,Чай зеленый Tess Лайм 100г
472174,напиток б/алк негаз со вкусом лимона,Lipton,True,"ООО ""ПепсиКо Холдингс""",0.6 л,,,Напиток Липтон б/алк негаз со вкусом лимона 0.6 л
168595,тунец филе-кусок х/к,VICI,True,"ООО ""Винючай-Русь""",300г,,в/у,Тунец филе-кусок VICI х/к 300г в/у
243969,сыр российский,О'КЕЙ,True,"ООО ""ПиР-ПАК"", Россия",150г,,нарезка,Сыр Российский ОКЕЙ нарезка 150г
602327,вареники с картофелем,Ложкарев,True,"ООО ""Шельф-2000""",350г,,,Вареники “Ложкарёвъ” с картофелем. 350г
150171,икра трески,Донской Орешек,True,"ООО ""Крепкий Орешек""",240г,,ж/б,Икра трески Донской орешек 240г ж/б
41971,свинина охл вырезка,Мясо,,"ООО ""О'КЕЙ""",кг,,,Свинина охл. вырезка .кг
241224,напиток адреналин раш энергетический б/а газ,Adrenaline Rush,,"ООО ""Мегапак""",0.25л,,ж/б,Напиток Адреналин Раш энергетический б/а газ 0.25л ж/б
